Name,Tags,Files & media,Status,中文名,公众号,地址,小红书,简介,网址
DNC广州,数字游民,%E6%95%B0%E5%AD%97%E6%B8%B8%E6%B0%91%E7%9B%AE%E5%BD%95%2023eee6b91aad4b18a3bffc1a918c1db8/WechatIMG870.jpg,开放中,数字游民基地,DNC自享社区,广州永庆坊至宝西一巷9号,,数字游民基地,无
Dali Hub,"web3.0, 共居共创, 数字游民",,开放中,Dali Hub大理共享办公空间,DH共享办公空间,DaliHub·大理共享办公空间,DaliHub,国内第一个数字游民社区·共享办公空间，面向数字游民、远程工作、自由职业、独立创业、技术开发、中小型团队、Web3以及不同领域的灵活工作者的大理在地空间，同时为大家提供一个交流和分享的平台。,无
黑柿,"web3.0, 共居共创, 苍山洱海",,开放中,黑柿咖宿空间,黑柿咖宿空间,云南省大理市大纸房村41号,,"黑柿将现代美学与日式⻛格相结合，院子大面积留白，小面积色彩，白色墙体与黑色木柱交错，灰色瓦房与绿色植物美妙叠加。
黑柿咖宿空间共有 8 间客房，每间⻛格不同，配备温暖厚重的老家具，亲肤柔软的棉麻材质床品，高级香氛洗护套装， 前无遮挡，一览无遗辽阔天空，背靠苍山，观云卷云舒，采光甚好，通透明亮。千兆光纤，数字游民友好。",
NCC,"共居共创, 苍山洱海",,开放中,NCC社区（Nomad Co-Living&Co-Creating）,NCC社区,云南大理古城西门葱园村，三月街赛马场附近,,NCC 社区(Nomad Co-Living & Co-Creating)，是一个由数字游民、创业者、创作者、生活方式探索者等一起组成的共居共创社区。我们创造出适合共居的环境，连接价值观相近的参与者，形成了共创氛围浓厚的社区。通过NCC社区的各种机制和规则设计，大家在NCC分享活动、交换技能、找到同行者&合伙人，开启新事业新人生的旅程，从而帮助更多人探索出适合新世代的工作和生活方式。,无
DNA,"共居共创, 数字游民",,开放中,数字游民公社,DNA数字游民,DNA数字游民公社位于浙江省湖州市安吉县溪龙乡横山村,,DNA数字游民公社（Digital Nomad ANJI）位于浙江省湖州市安吉县溪龙乡横山村，是中国第一个专门针对数字游民建设的综合性创意园区。,
RW实验室,"数字游民, 远程工作",,开放中,RW实验室,RW实验室,线上/线下快闪共居,RW数字游民社区 • 小红书 / RED,RW成立于2022年7月，是一个以共建理念为运营基础的数字游民共创社区。我们致力于构建相互协作、信息流通的数字游民资源网络，通过整合零散信息和共建共创，为数字游民提供类似于传统劳工关系模式下“工会”为雇员提供的互助平台和支撑服务。," https://www.nomaddao.club/work "
DN余村,,,开放中,余村数字游民公社,,浙江省湖州市安吉县天荒坪镇青来集人才社区,,“DN余村”全名余村数字游民公社，它是汪洋中的一条船，是各位孤勇者的港湾，也是为数字游民设计建设的一个Safe House。”DN余村“所在的区域，是安吉最受欢迎的旅游和度假目的地之一，2021年与安徽省黟县的西递村一起入选了联合国世界旅游组织“世界最佳旅游乡村”名单。,
ChiangMai Inn,"客栈, 数字游民",https://www.xiaohongshu.com/user/profile/5f0eb478000000000100260e?xhsshare=CopyLink&appuid=5b4ad34211be102db9f52b60&apptime=1712664510,开放中,清迈客栈,紫姀和清迈客栈,"Si Phum15/1 Soi 2 Chaiyaphum Rd., T.Chang",紫姀的清迈客栈家,清迈的家，致力为国内外数字游民和旅行者朋友们提供便捷舒适的住宿生活体验和资源接地服务，为满足大家的工作和对国外生活品质需求而努力。目前清迈客栈家社区群已有小伙伴将近500人。正在成长为清迈的一个新地标。,zzh92t09
四百盒子社区,"共居共创, 快闪, 数字游民",,开放中,四百盒子社区,四百盒子社区,南京经开区红枫科技园D11栋2楼,四百盒子社区,四百盒子社区把可编辑的空间作为创造生活各种可能性的载体。通过共享物品和共同创造，使社区和社群成为重要的线下连接与连接关系的集合体。我们的使命是探索出流动时代最需要的生活方式，把更多空间变成新社群的载体。,www.oneplacebox.com
数字游民没疯,"共居共创, 数字游民",,开放中,没疯数字游民社区,数字游民没疯,线上,数字游民没疯,"致力于践行和推广中国「数字游民」新生活方式
这里有各行各业优秀有趣的游民群体、又卷又疯的社区文化、多类沙龙分享和生活实验以及线下共享办公/共居空间。
欢迎加入没疯俱乐部！链接更多「没疯青年」
🙌没疯俱乐部 ｜🧪没疯实验室 ｜💬没疯聊天室 ｜💡没疯招招人才库｜",
Freelab,"数字游民, 远程工作",,开放中,自由客,FreeLab自由客实验室,线上,,"FreeLab致力于赋能与联结自由职业者/数字游民/远程工作者/斜杠职人/小微创业者。创建的初衷是希望更多人可以解放时间和地理位置，获得职业上的自由。平台主要提供远程工作、技能提升、人脉拓展、干货共享等服务。目前累计1W+会员，主要为撰稿人、营销人、设计师、摄影师剪辑师、插画师、翻译、程序员等，毕业于海内外名校,且曾在世界500强、互联网大厂 4A广告公司等有从业经验。",
Creators,"共学, 知识分享",,开放中,青年共学社区,,线上,,Creators 是以「行动」、「产出」和「商业可持续」为导向的共学共创小组，简单理解的话，它是区隔于 706 惯例的对话沙龙、讲座、知识分享等人文社科类活动，而衍生出来的更偏创意、技术、共建创造的分支，706 creators create something together,
天星村,"共居共创, 数字游民",,开放中,天星村数字游民社区,天星村 归于野,成都市温江区寿安镇天星村,,天星村数字游民社区，以青年力激活在地内容表达，联动乡建影响力社群、数字游民社区、高校大学生、打造面向年轻人的、充满机会、温度与归属感的青年友好乡村。,
